license_nbr,lic_status,business_name,business_name2,building,street_name,city,state,zip,swc_type,swc_sq_ft,swc_tables,swc_chairs,dohmh,lat,long,community_district,city_council_district,cd_url,app_id,app_swc_type,app_sq_ft,app_tables,app_chairs,app_status,app_status_date,expiration_date,app_too_date,submit_date,intake,intake_dd,dpqa,send_package_dd,cp,cp_dd,cb,cb_dd,hearing,hearing_dd,hearing_public,hearing_public_dd,cc,cc_dd,moo,moo_dd,issuance,issuance_dd,borough
1348205-DCA,Active,THIRD AVE CAFE LLC,NA,431,3RD AVE,NEW YORK,NY,10016,Unenclosed,540,19,38,41477872,40.7432629477573,-73.97970053420318,106,2,http://cbsix.org,20425-2019-RSWC,Unenclosed,540,19,38,Application Review Completed,2019-11-15T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-06-11T00:00:00Z,Ready For Review,2019-05-29T00:00:00Z,Approved,2019-06-12T00:00:00Z,NA,NA,Recommend Approval,2019-06-24T00:00:00Z,Waived,2019-08-15T00:00:00Z,NA,NA,Review Period Expired,2019-09-05T00:00:00Z,Approved,2019-11-15T00:00:00Z,Issued,2019-11-15T00:00:00Z,Manhattan
2034413-DCA,Inactive,PB WEALTH INC,SENN THAI COMFORT FOOD,452,AMSTERDAM AVE,NEW YORK,NY,10024,Unenclosed,70,4,8,50016060,40.78505117402946,-73.9771817189479,107,6,http://www.nyc.gov/mcb7,12145-2018-RSWC,Unenclosed,70,4,8,Application Review Completed,2019-03-28T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-08-31T00:00:00Z,Ready For Review,2018-08-31T00:00:00Z,Approved,2018-09-04T00:00:00Z,NA,NA,Review Period Expired,2018-10-24T00:00:00Z,Waived,2018-10-24T00:00:00Z,NA,NA,Review Period Expired,2018-11-14T00:00:00Z,Approved,2019-03-28T00:00:00Z,Issued,2019-03-28T00:00:00Z,Manhattan
1312041-DCA,Active,CAFE CASANO LLC,NA,38,WEST ST,NEW YORK,NY,10004,Unenclosed,204,9,23,41380933,40.70622853887717,-74.01653352079003,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,18515-2019-RSWC,Unenclosed,204,9,23,Application Review Completed,2019-10-31T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-04-24T00:00:00Z,Ready For Review,2019-04-24T00:00:00Z,Approved,2019-05-01T00:00:00Z,NA,NA,Review Period Expired,2019-06-27T00:00:00Z,Waived,2019-06-27T00:00:00Z,NA,NA,Review Period Expired,2019-07-18T00:00:00Z,Approved,2019-10-31T00:00:00Z,Issued,2019-10-31T00:00:00Z,Manhattan
2064752-DCA,Active,"MALABAR KITCHEN, LLC",ALTA CALIDAD,552,VANDERBILT AVE,BROOKLYN,NY,11238,Unenclosed,182,9,17,5/01/201750060021,40.680136292813316,-73.96815369730402,308,35,http://www.brooklyncb8.org/,14181-2017-ASWC,Unenclosed,182,9,17,Application Review Completed,2018-04-26T00:00:00Z,2020-12-15T00:00:00Z,NA,2017-10-11T00:00:00Z,Ready For Review,2017-10-11T00:00:00Z,Approved,2017-10-12T00:00:00Z,NA,NA,Review Period Expired,2017-12-02T00:00:00Z,Recommendation Issued,2018-01-11T00:00:00Z,SWC Public Hearing,2017-11-29T00:00:00Z,Review Period Expired,2018-02-01T00:00:00Z,NA,NA,Issued,2018-04-26T00:00:00Z,Brooklyn
0819452-DCA,Inactive,FRIEND OF A FARMER CORP.,NA,77,IRVING PL,NEW YORK,NY,10003,Unenclosed,252,8,14,40384340,40.73694006520256,-73.98673533248807,105,2,http://www.cb5.org,94-2011-RSWC,Unenclosed,252,8,14,Pending Review,2019-11-27T00:00:00Z,2020-02-15T00:00:00Z,2020-02-15T00:00:00Z,2016-04-27T00:00:00Z,NA,NA,Issued Temp Op Letter,2016-04-27T00:00:00Z,NA,2013-10-19T00:00:00Z,Review Period Expired,2016-06-17T00:00:00Z,Pending Review,2016-06-17T00:00:00Z,SWC Public Hearing,2016-06-15T00:00:00Z,NA,NA,NA,NA,NA,NA,Manhattan
1308999-DCA,Inactive,DESMO 916 CORP.,LAVAGNA,545,E 5TH ST,NEW YORK,NY,10009,Unenclosed,162,6,20,41364268,40.72408036501712,-73.98279100790086,103,2,http://www.nyc.gov/manhattancb3,26293-2019-RSWC,Unenclosed,162,6,20,Pending Review,2020-03-11T00:00:00Z,2020-06-11T00:00:00Z,2020-06-11T00:00:00Z,2019-09-06T00:00:00Z,Ready For Review,2019-09-06T00:00:00Z,Issued Temp Op Letter,2019-09-11T00:00:00Z,Pending Review,2019-09-06T00:00:00Z,Review Period Expired,2019-11-07T00:00:00Z,Waived,2019-11-07T00:00:00Z,NA,NA,Review Period Expired,2019-11-28T00:00:00Z,Pending Review,NA,Pending Review,NA,Manhattan
2090362-DCA,Active,"MUSSELS & MORE, LTD.",NA,510,80TH ST,BROOKLYN,NY,11209,Unenclosed,432,17,34,41498611,40.62549784476221,-74.02388768886107,310,43,http://www.bkcb10.org/,8374-2019-ASWC,Unenclosed,432,17,34,Application Review Completed,2019-11-22T00:00:00Z,2021-12-15T00:00:00Z,NA,2019-07-16T00:00:00Z,Ready For Review,2019-07-16T00:00:00Z,Approved,2019-07-17T00:00:00Z,NA,NA,Recommend Approval,2019-09-11T00:00:00Z,Recommendation Issued,2019-09-11T00:00:00Z,NA,NA,Review Period Expired,2019-10-02T00:00:00Z,Approved,2019-11-22T00:00:00Z,Issued,2019-11-22T00:00:00Z,Brooklyn
1189217-DCA,Active,PEPRICO INC.,CACIO E PEPE,182,2ND AVE,NEW YORK,NY,10003,Unenclosed,116,8,16,41056164,40.73059135915467,-73.98597528553407,103,2,http://www.nyc.gov/manhattancb3,16853-2019-RSWC,Unenclosed,116,8,16,Application Review Completed,2019-08-28T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-04-04T00:00:00Z,Ready For Review,2019-04-04T00:00:00Z,Approved,2019-04-04T00:00:00Z,NA,NA,Review Period Expired,2019-05-30T00:00:00Z,Waived,2019-05-30T00:00:00Z,NA,NA,Review Period Expired,2019-06-20T00:00:00Z,Approved,2019-08-28T00:00:00Z,Issued,2019-08-28T00:00:00Z,Manhattan
2059443-DCA,Inactive,53 WEST 72ND STREET CAFE LLC,THE DAKOTA BAR,53,W 72ND ST,NEW YORK,NY,10023,Enclosed,344,13,26,41709840,40.77755275893923,-73.97822054565727,107,6,http://www.nyc.gov/mcb7,14524-2017-ASWC,Enclosed,344,13,26,Pending Review,2019-10-23T00:00:00Z,2020-01-31T00:00:00Z,2020-01-31T00:00:00Z,2019-10-23T00:00:00Z,Ready For Review,2017-10-16T00:00:00Z,Issued Temp Op Letter,2017-12-01T00:00:00Z,Pending Review,2017-12-01T00:00:00Z,Pending Review,2017-12-01T00:00:00Z,Pending Review,NA,NA,NA,Pending Review,NA,Pending Review,NA,Pending Review,NA,Manhattan
2055693-DCA,Active,"VLC UPPER WEST, LLC",VIVE LA CREPE,189,COLUMBUS AVE,NEW YORK,NY,10023,Unenclosed,81,4,8,41631538,40.77495388087901,-73.98038048145585,107,6,http://www.nyc.gov/mcb7,25975-2019-RSWC,Unenclosed,81,4,8,Application Review Completed,2020-01-06T00:00:00Z,2021-09-15T00:00:00Z,NA,2019-08-23T00:00:00Z,Ready For Review,2019-08-26T00:00:00Z,Approved,2019-08-26T00:00:00Z,NA,NA,Review Period Expired,2019-10-25T00:00:00Z,Waived,2019-10-25T00:00:00Z,NA,NA,Review Period Expired,2019-11-15T00:00:00Z,Approved,2020-01-06T00:00:00Z,Issued,2020-01-06T00:00:00Z,Manhattan
2082435-DCA,Active,WB CAFE INC.,NA,134,W BROADWAY,NEW YORK,NY,10013,Unenclosed,126,8,16,50086791,40.71691203889209,-74.00833662542,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,18377-2018-ASWC,Unenclosed,126,8,16,Application Review Completed,2019-05-02T00:00:00Z,2021-04-15T00:00:00Z,NA,2018-12-20T00:00:00Z,Ready For Review,2018-12-20T00:00:00Z,Approved,2018-12-20T00:00:00Z,NA,NA,Recommend Approval,2019-02-21T00:00:00Z,Recommendation Issued,2019-02-21T00:00:00Z,SWC Public Hearing,2019-02-06T00:00:00Z,Review Period Expired,2019-03-14T00:00:00Z,NA,NA,Issued,2019-05-02T00:00:00Z,Manhattan
1385967-DCA,Inactive,"TAPPO, INC.",NA,49,W 24TH ST,NEW YORK,NY,10010,Unenclosed,140,5,10,41568107,40.743451037262965,-73.99111873315543,105,3,http://www.cb5.org,16864-2019-RSWC,Unenclosed,140,5,10,Pending Review,2020-05-28T00:00:00Z,2020-08-29T00:00:00Z,2020-08-29T00:00:00Z,2019-04-04T00:00:00Z,Ready For Review,2019-04-04T00:00:00Z,Issued Temp Op Letter,2019-04-04T00:00:00Z,Pending Review,2019-04-04T00:00:00Z,Review Period Expired,2019-05-30T00:00:00Z,Waived,2019-05-30T00:00:00Z,NA,NA,Review Period Expired,2019-06-20T00:00:00Z,Pending Review,NA,Pending Review,NA,Manhattan
2075388-DCA,Active,"GREEN 84, LLC",GREEN KITCHEN,1619,2ND AVE,NEW YORK,NY,10028,Unenclosed,356,14,28,50077890,40.77678210551257,-73.95278043461938,108,5,http://www.cb8m.com/,9800-2018-ASWC,Unenclosed,356,14,28,Application Review Completed,2018-10-02T00:00:00Z,2020-12-15T00:00:00Z,NA,2018-05-08T00:00:00Z,Ready For Review,2018-05-08T00:00:00Z,Approved,2018-05-09T00:00:00Z,Pending Review,2018-05-09T00:00:00Z,Recommend Approval,2018-07-11T00:00:00Z,Recommendation Issued,2018-07-11T00:00:00Z,SWC Public Hearing,2018-06-27T00:00:00Z,Review Period Expired,2018-08-01T00:00:00Z,Pending Review,2018-08-01T00:00:00Z,Issued,2018-10-02T00:00:00Z,Manhattan
2006623-DCA,Inactive,PASTA SHOP LLC,BAR PRIMI,325,BOWERY,NEW YORK,NY,10003,Unenclosed,398,18,36,50007157,40.725634896283026,-73.99186432238784,103,2,http://www.nyc.gov/manhattancb3,12709-2018-RSWC,Unenclosed,398,18,36,Application Review Completed,2018-09-28T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-09-13T00:00:00Z,Ready For Review,2018-09-11T00:00:00Z,Approved,NA,Proceed,2018-09-28T00:00:00Z,Review Period Expired,2018-09-28T00:00:00Z,Waived,2018-09-28T00:00:00Z,NA,NA,Approved,2018-09-28T00:00:00Z,Approved,2018-09-28T00:00:00Z,Issued,2018-09-28T00:00:00Z,Manhattan
2033617-DCA,Active,CAFE 52  RESTAURANT CORP,NA,5129,43RD AVE,WOODSIDE,NY,11377,Small Unenclosed,90,4,8,50003503,40.74430253560308,-73.91327209785145,402,26,http://www.cb2queens.org/,4697-2020-RSWC,Small Unenclosed,90,4,8,Application Review Completed,2020-04-29T00:00:00Z,2022-04-15T00:00:00Z,NA,2020-03-11T00:00:00Z,Ready For Review,2020-03-11T00:00:00Z,Approved,NA,Proceed,2020-04-29T00:00:00Z,Recommend Approval,2020-04-29T00:00:00Z,Waived,2020-04-29T00:00:00Z,NA,NA,Approved,2020-04-29T00:00:00Z,Approved,2020-04-29T00:00:00Z,Issued,2020-04-29T00:00:00Z,Queens
1170662-DCA,Active,"APPLEJACK COFFEE SHOP, INC.",NA,230,W 55TH ST,NEW YORK,NY,10019,Small Unenclosed,250,7,28,50005075,40.764686173592615,-73.98265055767632,105,3,http://www.cb5.org,31523-2018-RSWC,Small Unenclosed,250,7,28,Application Review Completed,2019-05-18T00:00:00Z,2020-12-15T00:00:00Z,NA,2018-12-11T00:00:00Z,Ready For Review,2018-12-11T00:00:00Z,Approved,2018-12-11T00:00:00Z,NA,NA,Review Period Expired,2019-01-31T00:00:00Z,Waived,2019-01-31T00:00:00Z,NA,NA,Review Period Expired,2019-02-21T00:00:00Z,NA,NA,Issued,2019-05-18T00:00:00Z,Manhattan
2011216-DCA,Inactive,REGULAR WOW LLC,THE GREAT GEORGIANA,248,DEKALB AVE,BROOKLYN,NY,11205,Unenclosed,357,17,36,50002020,40.68925747032028,-73.96925994927845,302,35,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,12462-2018-RSWC,Unenclosed,357,17,36,Application Review Completed,2018-09-07T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-09-07T00:00:00Z,Ready For Review,2018-09-07T00:00:00Z,Approved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Issued,2018-09-07T00:00:00Z,Brooklyn
1463548-DCA,Active,SOFIA 61ST STREET CORP.,SERAFINA,33,E 61ST ST,NEW YORK,NY,10065,Small Unenclosed,81,3,8,41717206,40.76478786888056,-73.9699795704238,108,4,http://www.cb8m.com/,35842-2019-RSWC,Small Unenclosed,81,3,8,Application Review Completed,2020-05-14T00:00:00Z,2020-06-09T00:00:00Z,2020-06-09T00:00:00Z,2019-12-19T00:00:00Z,Ready For Review,2019-12-19T00:00:00Z,Process Completed,2019-12-23T00:00:00Z,NA,NA,Review Period Expired,2020-03-12T00:00:00Z,Waived,2020-03-12T00:00:00Z,NA,NA,Review Period Expired,2020-04-02T00:00:00Z,NA,NA,NA,NA,NA
1282359-DCA,Inactive,"TIRAMISU RESTAURANT, LLC",TIRAMISU RESTAURANT,1410,3RD AVE,NEW YORK,NY,10028,Unenclosed,287,13,26,40520857,40.775169794517495,-73.95684702733364,108,5,http://www.cb8m.com/,14288-2018-RSWC,Unenclosed,287,13,26,Application Review Completed,2019-06-03T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-09-20T00:00:00Z,Ready For Review,2018-09-20T00:00:00Z,Approved,2018-09-27T00:00:00Z,NA,NA,Recommend Approval,2018-10-24T00:00:00Z,Recommendation Issued,2018-11-01T00:00:00Z,SWC Public Hearing,2018-11-14T00:00:00Z,Review Period Expired,2018-11-22T00:00:00Z,Approved,2019-06-03T00:00:00Z,Issued,2019-06-03T00:00:00Z,Manhattan
2023071-DCA,Active,SLAMMERS INC,SUTEISHI JAPANESE  RESTAURANT,24,PECK SLIP,NEW YORK,NY,10038,Unenclosed,50,9,18,41219569,40.70786833563399,-74.0018359007529,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,16141-2019-RSWC,Unenclosed,50,9,18,Application Review Completed,2019-04-18T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-03-29T00:00:00Z,Ready For Review,2019-03-29T00:00:00Z,Approved,NA,Proceed,2019-04-18T00:00:00Z,Recommend Approval,2019-04-18T00:00:00Z,Waived,2019-04-18T00:00:00Z,NA,NA,Approved,2019-04-18T00:00:00Z,Approved,2019-04-18T00:00:00Z,Issued,2019-04-18T00:00:00Z,Manhattan
1222176-DCA,Inactive,"SILVER MOON BAKERY, INC.",NA,2740,BROADWAY,NEW YORK,NY,10025,Unenclosed,261,15,30,40813690,40.80064997405801,-73.96777458254525,107,7,http://www.nyc.gov/mcb7,12143-2018-RSWC,Unenclosed,261,15,30,Application Review Completed,2019-08-28T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-08-31T00:00:00Z,Ready For Review,2018-08-31T00:00:00Z,Approved,2018-09-05T00:00:00Z,NA,NA,Review Period Expired,2018-10-24T00:00:00Z,Waived,2018-10-24T00:00:00Z,NA,NA,Review Period Expired,2018-11-14T00:00:00Z,Approved,2019-08-28T00:00:00Z,Issued,2019-08-28T00:00:00Z,Manhattan
2037219-DCA,Inactive,JETHOU LLC,PIZZA BEACH,167,ORCHARD ST,NEW YORK,NY,10002,Small Unenclosed,264,9,18,50038923,40.72133908398603,-73.98870819087196,103,1,http://www.nyc.gov/manhattancb3,12353-2018-RSWC,Small Unenclosed,264,9,18,Application Review Completed,2019-03-19T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-09-05T00:00:00Z,Ready For Review,2018-09-12T00:00:00Z,Approved,2018-09-12T00:00:00Z,NA,NA,Review Period Expired,2018-11-01T00:00:00Z,Waived,2018-11-01T00:00:00Z,NA,NA,Review Period Expired,2018-11-22T00:00:00Z,Approved,2019-03-19T00:00:00Z,Issued,2019-03-19T00:00:00Z,Manhattan
2071788-DCA,Active,"SWEETGREEN NEW YORK, LLC",SWEETGREEN WILLIAMSBURG,162,N 4TH ST,BROOKLYN,NY,11211,Unenclosed,78,5,10,50017284,40.71558762647897,-73.95920148713704,301,34,http://www.nyc.gov/brooklyncb1,5917-2018-ASWC,Unenclosed,78,5,10,Application Review Completed,2018-11-29T00:00:00Z,2020-12-15T00:00:00Z,NA,2018-03-27T00:00:00Z,Ready For Review,2018-03-28T00:00:00Z,Approved,2018-03-28T00:00:00Z,NA,NA,Review Period Expired,2018-05-18T00:00:00Z,Recommendation Issued,2018-05-24T00:00:00Z,SWC Public Hearing,2018-05-16T00:00:00Z,Review Period Expired,2018-06-14T00:00:00Z,Approved,2018-11-29T00:00:00Z,Issued,2018-11-29T00:00:00Z,Brooklyn
2078943-DCA,Inactive,4902 SKILLMAN CAFE LLC,P.J. HORGAN'S,4902,SKILLMAN AVE,WOODSIDE,NY,11377,Unenclosed,352,10,24,50074966,40.74598369012304,-73.91510686130331,402,26,http://www.cb2queens.org/,11988-2018-ASWC,Unenclosed,352,10,24,Application Review Completed,2019-03-19T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-06-22T00:00:00Z,Ready For Review,2018-06-22T00:00:00Z,Approved,2018-06-22T00:00:00Z,NA,NA,Recommend Approval,2018-10-10T00:00:00Z,Recommendation Issued,2018-10-10T00:00:00Z,SWC Public Hearing,2018-08-08T00:00:00Z,Review Period Expired,2018-10-31T00:00:00Z,NA,NA,Issued,2019-03-19T00:00:00Z,Queens
2075352-DCA,Active,EASTSIDE BARKING DOG INC,NA,1678,3RD AVE,NEW YORK,NY,10128,Unenclosed,159,6,12,50078890,40.784123262335726,-73.95037390735104,108,5,http://www.cb8m.com/,28938-2019-RSWC,Unenclosed,159,6,12,Application Review Completed,2020-01-27T00:00:00Z,2021-12-15T00:00:00Z,NA,2019-10-10T00:00:00Z,Ready For Review,2019-10-10T00:00:00Z,Approved,2019-10-11T00:00:00Z,NA,NA,Recommend Approval,2019-12-06T00:00:00Z,Waived,2019-12-06T00:00:00Z,NA,NA,Review Period Expired,2020-01-27T00:00:00Z,Approved,2020-01-27T00:00:00Z,Issued,2020-01-27T00:00:00Z,Manhattan
2051482-DCA,Inactive,HONEYBRAINS LAFAYETTE LLC,NA,372,LAFAYETTE ST,NEW YORK,NY,10012,Unenclosed,240,10,19,50057051,40.727169339752514,-73.99387374782113,102,1,http://www.nyc.gov/manhattancb2,2581-2020-RSWC,Unenclosed,240,10,19,Pending Review,2020-02-27T00:00:00Z,2020-03-31T00:00:00Z,2020-03-31T00:00:00Z,2020-02-04T00:00:00Z,Ready For Review,2020-02-04T00:00:00Z,Issued Temp Op Letter,2020-02-05T00:00:00Z,Pending Review,2020-02-05T00:00:00Z,Review Period Expired,2020-03-25T00:00:00Z,Waived,2020-03-25T00:00:00Z,NA,NA,Review Period Expired,2020-04-15T00:00:00Z,Pending Review,NA,Pending Review,NA,Manhattan
2091638-DCA,Active,225 WEST BROADWAY CORP,NA,225,W BROADWAY,NEW YORK,NY,10013,Unenclosed,67,3,6,50059876,40.719302857375624,-74.00624096898686,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,9994-2019-ASWC,Unenclosed,67,3,6,Application Review Completed,2020-03-12T00:00:00Z,2021-12-15T00:00:00Z,NA,2019-08-21T00:00:00Z,Ready For Review,2019-08-21T00:00:00Z,Approved,2019-08-22T00:00:00Z,NA,NA,Recommend Approval,2019-10-16T00:00:00Z,Recommendation Issued,2019-10-16T00:00:00Z,SWC Public Hearing,2019-10-09T00:00:00Z,Review Period Expired,2019-11-15T00:00:00Z,Approved,2020-03-12T00:00:00Z,Issued,2020-03-12T00:00:00Z,Manhattan
2005314-DCA,Active,DUTCH KILLS RESTORATION CORP.,DUTCH KILLS CENTRAAL,3840,29TH ST,LONG ISLAND CITY,NY,11101,Unenclosed,388,7,28,50000749,40.75373917029653,-73.93429517823378,401,26,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,4362-2019-RSWC,Unenclosed,388,7,28,Application Review Completed,2019-01-30T00:00:00Z,2020-12-15T00:00:00Z,NA,2019-01-28T00:00:00Z,Ready For Review,2019-01-28T00:00:00Z,Approved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Issued,2019-01-30T00:00:00Z,Queens
2018729-DCA,Active,"SUD-OUEST 33, INC",BACCHUS,409-411,ATLANTIC AVE,BROOKLYN,NY,11217,Unenclosed,198,4,22,41569764,40.68700429785303,-73.98425729919407,302,33,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,26323-2019-RSWC,Unenclosed,198,4,22,Application Review Completed,2019-09-09T00:00:00Z,2021-09-15T00:00:00Z,NA,2019-09-09T00:00:00Z,Ready For Review,2019-09-09T00:00:00Z,Approved,NA,Proceed,2019-09-09T00:00:00Z,Review Period Expired,2019-09-09T00:00:00Z,Waived,2019-09-09T00:00:00Z,NA,NA,Approved,2019-09-09T00:00:00Z,Approved,2019-09-09T00:00:00Z,Issued,2019-09-09T00:00:00Z,Brooklyn
2069713-DCA,Inactive,D&S DINING GROUP LLC,SALUMERIA ROSI,283,AMSTERDAM AVE,NEW YORK,NY,10023,Unenclosed,188,15,30,50074284,40.77933455527676,-73.98082331284168,107,6,http://www.nyc.gov/mcb7,2238-2018-ASWC,Unenclosed,188,15,30,Application Review Completed,2018-06-25T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-02-09T00:00:00Z,Ready For Review,2018-02-14T00:00:00Z,Approved,2018-02-14T00:00:00Z,NA,NA,Review Period Expired,2018-04-06T00:00:00Z,Recommendation Issued,2018-04-18T00:00:00Z,SWC Public Hearing,2018-04-04T00:00:00Z,Review Period Expired,2018-05-09T00:00:00Z,Approved,2018-05-24T00:00:00Z,Issued,2018-06-25T00:00:00Z,Manhattan
2059550-DCA,Inactive,SWEET CHICK FLATBUSH LLC,SWEET CHICK,636,CARLTON AVE,BROOKLYN,NY,11238,Unenclosed,328,14,34,NA,40.677647878684375,-73.97239465190354,308,35,http://www.brooklyncb8.org/,36469-2019-RSWC,Unenclosed,328,14,34,Pending Review,2020-01-21T00:00:00Z,2020-04-21T00:00:00Z,2020-04-21T00:00:00Z,2019-12-30T00:00:00Z,Ready For Review,2019-12-30T00:00:00Z,Issued Temp Op Letter,2019-12-31T00:00:00Z,Pending Review,2019-12-31T00:00:00Z,Review Period Expired,2020-03-06T00:00:00Z,Waived,2020-03-06T00:00:00Z,NA,NA,Review Period Expired,2020-03-27T00:00:00Z,Pending Review,NA,Pending Review,NA,Brooklyn
0920440-DCA,Active,"JO-RACH, INC.",Caffe Palermo,148,MULBERRY ST,NEW YORK,NY,10013,Unenclosed,125,3,10,40600516,40.71907243678462,-73.99737375161185,102,1,http://www.nyc.gov/manhattancb2,30418-2017-RSWC,Unenclosed,125,3,10,Application Review Completed,2018-01-11T00:00:00Z,2020-12-15T00:00:00Z,2018-02-08T00:00:00Z,2017-12-14T00:00:00Z,Ready For Review,2017-12-14T00:00:00Z,Approved,NA,Proceed,2018-01-11T00:00:00Z,Review Period Expired,2018-01-11T00:00:00Z,Waived,2018-01-11T00:00:00Z,NA,NA,Review Period Expired,2018-01-11T00:00:00Z,Waived,2018-01-11T00:00:00Z,Issued,2018-01-11T00:00:00Z,Manhattan
2070749-DCA,Inactive,EL CONDE M&G INC,NA,4139,BROADWAY,NEW YORK,NY,10033,Enclosed,280,7,28,50060875,40.846082472797775,-73.93872193355432,112,10,http://www.nyc.gov/html/mancb12/html/home/home.shtml,9762-2018-ASWC,Enclosed,280,7,28,Pending Review,2019-11-27T00:00:00Z,2020-02-15T00:00:00Z,2020-02-15T00:00:00Z,2018-05-08T00:00:00Z,Ready For Review,2018-05-08T00:00:00Z,Issued Temp Op Letter,2018-05-09T00:00:00Z,Pending Review,2018-05-09T00:00:00Z,Pending Review,2018-05-09T00:00:00Z,Pending Review,NA,NA,NA,Pending Review,NA,Pending Review,NA,Pending Review,NA,Manhattan
2087607-DCA,Active,D&D CAFE LLC,NA,128,MESEROLE ST,BROOKLYN,NY,11206,Unenclosed,327,19,38,NA,40.707824846610535,-73.94464167338695,301,34,http://www.nyc.gov/brooklyncb1,4954-2019-ASWC,Unenclosed,327,19,38,Application Review Completed,2019-09-04T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-04-30T00:00:00Z,Ready For Review,2019-04-30T00:00:00Z,Approved,2019-05-01T00:00:00Z,NA,NA,Recommend Approval,2019-06-26T00:00:00Z,Recommendation Issued,2019-06-26T00:00:00Z,SWC Public Hearing,2019-06-19T00:00:00Z,Review Period Expired,2019-07-18T00:00:00Z,Approved,2019-09-04T00:00:00Z,Issued,2019-09-04T00:00:00Z,Brooklyn
1319263-DCA,Active,GREENWICH HOTEL RESTAURANT LLC,LOCANDA VERDE,377,GREENWICH ST,NEW YORK,NY,10013,Unenclosed,570,19,38,41410205,40.71984879493749,-74.01005056765743,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,25142-2019-RSWC,Unenclosed,570,19,38,Application Review Completed,2019-12-04T00:00:00Z,2021-09-15T00:00:00Z,NA,2019-07-31T00:00:00Z,Ready For Review,2019-07-31T00:00:00Z,Approved,2019-08-01T00:00:00Z,NA,NA,Review Period Expired,2019-09-24T00:00:00Z,Waived,2019-09-24T00:00:00Z,NA,NA,Review Period Expired,2019-10-15T00:00:00Z,Approved,2019-12-04T00:00:00Z,Issued,2019-12-04T00:00:00Z,Manhattan
2027039-DCA,Active,KISMAT INDIAN RESTAURANT INC,NA,603,FORT WASHINGTON AVE,NEW YORK,NY,10040,Unenclosed,432,28,56,40557912,40.85549593661597,-73.9371010222485,112,10,http://www.nyc.gov/html/mancb12/html/home/home.shtml,26703-2019-RSWC,Unenclosed,432,28,56,Application Review Completed,2019-09-18T00:00:00Z,2021-09-15T00:00:00Z,2019-10-16T00:00:00Z,2019-09-16T00:00:00Z,Ready For Review,2019-09-16T00:00:00Z,Approved,NA,Proceed,2019-09-18T00:00:00Z,Review Period Expired,2019-09-18T00:00:00Z,Waived,2019-09-18T00:00:00Z,NA,NA,Approved,2019-09-18T00:00:00Z,Approved,2019-09-18T00:00:00Z,Issued,2019-09-18T00:00:00Z,Manhattan
2074042-DCA,Active,ANDREAS FOOD CORP.,JACKSON'S,1037,JACKSON AVE,LONG ISLAND CITY,NY,11101,Unenclosed,125,4,8,50056563,40.74244277381728,-73.95318008225443,402,26,http://www.cb2queens.org/,7273-2018-ASWC,Unenclosed,125,4,8,Application Review Completed,2018-08-30T00:00:00Z,2020-12-15T00:00:00Z,NA,2018-04-11T00:00:00Z,Ready For Review,2018-04-13T00:00:00Z,Approved,2018-04-17T00:00:00Z,NA,NA,Review Period Expired,2018-06-07T00:00:00Z,Recommendation Issued,2018-06-21T00:00:00Z,SWC Public Hearing,2018-06-06T00:00:00Z,Review Period Expired,2018-07-12T00:00:00Z,Approved,2018-08-30T00:00:00Z,Issued,2018-08-30T00:00:00Z,Queens
1110366-DCA,Inactive,"THE OTHEROOM, INC.",NA,143,PERRY ST,NEW YORK,NY,10014,Unenclosed,63,2,6,40592117,40.73497805178765,-74.0080141346542,102,3,http://www.nyc.gov/manhattancb2,26964-2018-RSWC,Unenclosed,63,2,6,Application Review Completed,2019-11-01T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-11-08T00:00:00Z,Ready For Review,2018-11-08T00:00:00Z,Approved,2018-11-09T00:00:00Z,NA,NA,Review Period Expired,2018-12-27T00:00:00Z,Waived,2018-12-27T00:00:00Z,NA,NA,Review Period Expired,2019-01-17T00:00:00Z,Approved,2019-11-01T00:00:00Z,Issued,2019-11-01T00:00:00Z,Manhattan
